comment,entities
Ürün çok kısa sürede elime ulaştı.  Paketleme biraz özensizdi. Ürün kullanışlı tavsiye ederim.,"[('çok kısa sürede elime', 'ORG'), ('Ürün kullanışlı', 'PERSON')]"
"Bu gün aldım ürünü kargo hızli bi şekilde geldi,  bu gün denedim fazla bir etkisini göremedim. Bir etkisi olursa yorumu editleyeceğim.","[('kargo', 'GPE'), ('bi şekilde geldi', 'PERSON'), ('olursa', 'ORG')]"
Çok kullanışlı idi..süt kaynattım gümledi;((..kesinlikle süt kaynatmayın,"[('Çok kullanışlı', 'PERSON'), ('kaynattım gümledi;((', 'PERSON')]"
Zamanında teslimt için teşekkürler.çekişi gayet yeterli ve pratik bir ürün,"[('Zamanında teslimt', 'PERSON')]"
Telefonla doğru durust uymuyor sıkıştırma yerine takınca telefonu ha bire tuş kilidine giriyor ya da kapanıyor. Burnu rahatsız eden bir yapısı var ayrıca.,"[('yerine', 'CARDINAL')]"
Üstteki motor kısmını kaba tam oturtmakta zorluk yaşatsada gayet kullanışlı,"[('Üstteki', 'GPE'), ('kısmını kaba', 'PERSON'), ('zorluk yaşatsada', 'PERSON')]"
Olumlu yönleri: Ürün cidden çok kullanışlı.3 yı önce aldığım süpürge hiç çekmiyor ve ısınıyor.Bu süpürge harika emil gücünü arttırabiliyorsunuz halıyı kaldırıyor okadar iyi emil gücü,"[('Ürün', 'PERSON'), ('çok kullanışlı.3 yı önce', 'ORG'), ('süpürge hiç çekmiyor', 'PERSON')]"
Ütünün sürekli su akıtma problemi var ve bir türlü önleyemedim..,"[('Ütünün', 'PERSON')]"
ASLA ALMAYINIZ TAVSİYE ETMİYORUM,[]
Görünüşü biraz kaba emiş gücü mükemmel başlı gi biraz ince olsa daha iyi olur,"[('Görünüşü', 'GPE'), ('kaba', 'GPE'), ('gücü mükemmel', 'PERSON'), ('biraz', 'ORG')]"
"ürğn elime ulaşmadı. aynı taşıma firması 1 ürünü teslim ederken diğer
ürün için adres bulunamadı yazıyor. taşıma firmanız yurtiçi kargoda
büyük sorun var.","[('1', 'CARDINAL'), ('taşıma firmanız', 'PERSON'), ('yurtiçi kargoda', 'ORG'), ('büyük sorun var', 'ORG')]"
"Bende indirimden aldım.  Monitör kutu içerisinde bir adet hdmi kablo bir adet display kablo ve usb kablosu ve tabiiki güç kablosu ile geliyor. Hiç bir yerde bahsedilmedi galiba ama menüde freesync açık yazıyor bu özellik te var galiba fps seçildiğinde benim görüntü siyah beyaz oluyor hdmi ile bağladiğim için olabilir bilmiyorum. 144hz kullanacaklar display kablo ile bağlamasi gerekiyor fps özelliğini felan kullanabilmesi için galiba. Çokça söylenen ölü piksel çok şükür bende de çıkmadı. 250 tl civari 128 bit standart bir ekran kartı ile hdmi den bağlayarak test ettim fena değil artık yeni bir pc de yakında toplarim inşallah. Monitörü alınca küçük mü oldu 27"" olanini mi alsaydim dedim ama yetti. Monitörü aldım alacak olanlara da tavsiye ederim.","[('Monitör kutu', 'PERSON'), ('kablo bir adet display', 'ORG'), ('usb kablosu', 'PERSON'), ('güç kablosu ile geliyor', 'PERSON'), ('Hiç bir yerde bahsedilmedi galiba', 'PERSON'), ('benim görüntü siyah', 'PERSON'), ('ile bağladiğim', 'PERSON'), ('144hz', 'CARDINAL'), ('kablo ile bağlamasi gerekiyor', 'PERSON'), ('250', 'CARDINAL'), ('128', 'CARDINAL'), ('bağlayarak', 'PERSON'), ('de yakında', 'PERSON'), ('inşallah', 'NORP'), ('27', 'CARDINAL'), ('ama yetti', 'ORG'), ('olanlara da', 'PERSON')]"
hızlı servis uygun fiyat ama fiyatını haketmiyor.. ses olarak çok iyi ama kablolar dandik.. çok çabuk kablo hasarı yaşayacaksınız... kesinlikle tavsiye etmiyorum...,"[('fiyatını haketmiyor', 'ORG'), ('ama kablolar dandik', 'ORG'), ('çok', 'ORG'), ('hasarı yaşayacaksınız', 'PERSON'), ('kesinlikle', 'PERSON')]"
Ürünün açıklamasında ekran kalitesi hakkında hiçbir bilgi yok. Ne satın aldığınızı bilemiyorsunuz. Xiaomi telefonların bazı modellerinde ekran problemi var. Telefon cebinizdeyken kendi kendine arama yapıyor.,"[('Ürünün', 'NORP'), ('kalitesi hakkında', 'PERSON'), ('hiçbir bilgi', 'PERSON'), ('Xiaomi', 'NORP'), ('bazı modellerinde ekran', 'ORG'), ('Telefon cebinizdeyken', 'PERSON'), ('kendi kendine', 'PERSON')]"
fiyatına göre performansı çok iyi,[]
"çok kötü bir ürün. 
sınıf için almıştım. sesi yetersiz.
kesinlikle tavsiye etmiyorum.","[('çok kötü bir ürün', 'PERSON'), ('sınıf', 'PERSON'), ('kesinlikle', 'PERSON')]"
teşekkürler hızlı kargo ilgili satıcı ürün ise fiyatına göre en iyisi bufiyata bu performans sadece bu marka mevcut bilginiz olsun,"[('performans', 'NORP')]"
ürünü sipariş ettik 4 günde geldi aynı  gün servis gelip kurdu. Şu an tıkır tıkır çalışıyor servis ekibi ayda  7-8 tl elektrik yakacağını söyledi fiyat performans ürünü,"[('4', 'CARDINAL'), ('geldi', 'PERSON'), ('gelip kurdu', 'PERSON'), ('7-8', 'CARDINAL'), ('söyledi fiyat', 'PERSON')]"
Olumsuz yönleri: statik buzdolapları çok tercihim değil daha çok nofros tercih ederim yeni buzdolabı alacaksam onun haricinde üstten donduruculu toplam 208 lt hacmi olan başta da söylediğim gibi statik bir buzdolabı modelidir,"[('Olumsuz', 'ORG'), ('yönleri', 'PRODUCT'), ('çok tercihim değil', 'PERSON'), ('çok nofros tercih', 'PERSON'), ('onun', 'GPE'), ('208', 'CARDINAL'), ('hacmi olan başta', 'PERSON'), ('da söylediğim gibi', 'PERSON')]"
"hayır rezalet. fotoğraf yükle dedikçe de hata veriyor. Mağaza ararsa
onlara yollayayım fotoları.","[('Mağaza', 'GPE'), ('onlara yollayayım fotoları', 'PERSON')]"
mükemmel tşkrler,"[('mükemmel tşkrler', 'PERSON')]"
"Tavsiye etmiyorum. Çok fazla kaliteli değil, kapak kısmı kaçırıyor.","[('Çok fazla', 'PERSON'), ('kaliteli değil', 'PERSON'), ('kapak kısmı kaçırıyor', 'PERSON')]"
Olumsuz yönleri: Ürünü bir kere kullandıktan sonra sinbo yetkili servise gönderdik içindeki suyu bir süre bekledikten sonra açma kapama düğmesinden akıtıyor  tavsiye etmiyorum,"[('Olumsuz', 'ORG')]"
"Birkaç ay önce aldık, suyu sıcak tutmuyor, çok gürültülü. Kalabalık aile değilseniz hiç almayın. Sırf Para verdik diye kullanıyoruz, gördükçe sinirleniyorum.","[('Birkaç', 'PERSON'), ('Sırf Para', 'PERSON'), ('diye kullanıyoruz', 'PERSON')]"
güzel kaliteli,"[('kaliteli', 'PERSON')]"
akşam sipariş verdim 3 iş gününde geldi. sorunsuzdu. telefona alışmamız zaman alacak. almanızı tavsiye ederim yeni çok özelliği ve klasik samsung güveni var.,"[('3', 'CARDINAL'), ('geldi', 'PERSON'), ('sorunsuzdu', 'PERSON'), ('telefona alışmamız zaman alacak.', 'PERSON'), ('çok özelliği ve klasik samsung güveni var', 'PERSON')]"
"malesef ürün sıfır değil gibi, altındaki çiziklerden belli, üst kısımda
belirgin olmayan kılcal çizikler var... ben zaten bu fiyata sıfır ürün
beklemiyordum, fiyat gerçekten çok iyi","[('sıfır değil gibi', 'PERSON'), ('çiziklerden belli', 'PERSON'), ('ben zaten', 'PERSON')]"
öncelikle sağlam değil bunu belirteyim. telefonuma cok zor takılıyor bu nedenle telefonun girişi bozulacak korkusuyla 1-2 denemeden sonra birdaha denemedim. okuma yazma hızı düşük. pc ye taktığımda aşırı ısınıyor. kısaca hiç tavsiye etmiyorum.,"[('sağlam değil bunu belirteyim', 'PERSON'), ('nedenle telefonun', 'ORG'), ('1', 'CARDINAL'), ('yazma hızı düşük', 'ORG'), ('kısaca', 'PERSON')]"
Paketleme  idare eder.Ses kalitesi fiyata göre gayet  iyi .Cok kaliteli bir ses bekliyorsanız  yüksek fiyatlar ve yüksek modellere bakın o zaman  :),[]
"444 41 23'ü arayacaksınız kurulum için belirteyim boşa kontör harcamayın 1-2 saatte de gelip taktılar ,ücretsiz bu arada telefon kaydından soru soruluyor sesli cevaplıyorsunuz gelip kuruyorlar. Güzel gibi şimdilik normalde 1 sene sonra yazmak lazım yorumu aslında da zaten 2 yılda bir pert oluyor bu makineler malum kimse kalgon kullanmıyor. Ayrıca çok koyuyorlar içerisine 7 kilo dese de 9-10 koyuyor herkes sonra pert oluyo haliyle...","[('444', 'CARDINAL'), (""41 23'ü"", 'DATE'), ('için', 'DATE'), ('1-2', 'PRODUCT'), ('ücretsiz bu arada', 'PERSON'), ('kaydından soru soruluyor', 'PERSON'), ('gelip kuruyorlar', 'PERSON'), ('Güzel', 'NORP'), ('aslında da zaten', 'PERSON'), ('2', 'CARDINAL'), ('kimse kalgon', 'PERSON'), ('7', 'CARDINAL'), ('kilo dese de', 'PERSON'), ('9', 'CARDINAL')]"
"ürün arızalı çıktı ve samsung servisi arızalı olmadığını idia ediyor, Apple yetkili servisinde birçok bilgisayarda test edildi hepsinde donma kopma hatası verdi.","[('samsung', 'ORG'), ('Apple', 'ORG'), ('bilgisayarda', 'ORG')]"
"uruns es kalıletsı olarak dger meshur markalara kafa tutar cınsten. kulaklık işe yaramaz.
ama bu ne alaka kı alma sebebım olan bluetooth yok..
tum sıtelerde bluetooth var dye yazan am aolmayan bı urun.
ıade edıyorum umarım sorun olmaz","[('meshur markalara kafa', 'PERSON'), ('alaka kı alma sebebım', 'ORG'), ('tum sıtelerde', 'PERSON'), ('aolmayan bı', 'PERSON')]"
ÜRÜN GÜZEL,"[('ÜRÜN', 'ORG')]"
"dikiş makinasini alıyorsanız tereddüt etmeden bu seti almalisiniz.

dikiş icin gerekli olan herşey a dan z ye mevcut.

mezuradan bos makaralara makas toplu igne iğnelik ve daha fazla malzeme. kutunun yaninda model gözü var.

Çok kullanisli.","[('dikiş makinasini alıyorsanız tereddüt etmeden bu seti', 'PERSON'), ('olan herşey', 'ORG'), ('a dan z', 'PERSON'), ('mezuradan bos makaralara makas', 'PERSON'), ('kutunun yaninda', 'PERSON'), ('gözü var', 'ORG'), ('Çok', 'PERSON')]"
"pişirme fena değil ama sürekli turba kullanılması lazım, normal ayarda performansı düşüyor. Kek, sufle gibi kontrollü ısı gerektiren işlerde başarılı değil. birde alttaki resistanslar açıkta olduğu için ben sürekli elimi yakıyorum. gerçi bu benim sakarlığım ile ilgili muhtemelen.","[('değil', 'PERSON'), ('birde alttaki', 'PERSON'), ('ben sürekli', 'PERSON'), ('gerçi bu benim sakarlığım ile', 'PERSON')]"
ben tavsiye etmem turbox bence daha iyi fiyata ve kaliteye göre bence almayın su motoru gibi çalışıyor.,"[('ben tavsiye', 'PERSON'), ('fiyata', 'ORG'), ('kaliteye', 'PERSON'), ('almayın su motoru gibi', 'PERSON')]"
"13/09/2017 tarihinde ürünü aldım.Yorum yapmak şimdi nasip oldu :) .
İnanın üründen son derece memnunum. Kesinlikle tavsiye ederim. Zaten
Markası Belli ... '' Uğur Derin Dondurucu ''","[('şimdi', 'PERSON'), ('İnanın', 'GPE'), ('Markası Belli', 'PERSON')]"
Ürün mukemmel başarılı,[]
"Fiyat performans açısından piyasadaki en iyi ürünlerden birisi. Yerli malından şaşmayın. 
Evladiyelik..","[('açısından piyasadaki', 'PERSON'), ('Evladiyelik', 'PERSON')]"
"Su filtreli cihazlarda farklı yorumlar mevcut, bu tip su filtreli makinelerde emilen toz ve kir suya yapıştığı için makinenin kendi hijyeni açısından ileride oluşabilecek kirliliğe karşı klasik toz torbalı makinelere kıyasla bunların daha avantajlı olduğunu düşünüyorum.

* 2400W olması genel ev temizliğinde emiş gücü açısından yeterli.
* Çıkarttığı ses seviyesi normal.
* Makine hafif olduğu için hareket ettirmesi kolay.
* Cihazla birlikte çeşitli temizlik alanları için değişken başlıklar veriyorlar. (dar yüzey, halı, koltuk araları, perdeler vb. için)
* İşlem sonrasında su haznesinin temizliği kolay. 

Sonuç olarak; kendi klasmanında fiyat/performans açısından çok uygun bir cihaz.","[('filtreli', 'NORP'), ('yorumlar mevcut', 'PERSON'), ('tip su filtreli makinelerde emilen', 'PERSON'), ('kir suya yapıştığı için', 'ORG'), ('karşı klasik', 'PERSON'), ('avantajlı olduğunu', 'PERSON'), ('2400W', 'DATE'), ('açısından yeterli', 'PERSON'), ('dar yüzey', 'PERSON'), ('İşlem sonrasında su haznesinin temizliği kolay', 'PERSON'), ('kendi klasmanında fiyat', 'PERSON'), ('performans', 'NORP'), ('çok', 'ORG')]"
1200 devirde makinem çok kırışık çıkartıyor kazaklarda genişleme yıpranma farkediyorum  busekilde farkeden varmı yorum yazarmisiniz bana,"[('1200', 'CARDINAL'), ('devirde makinem', 'PERSON'), ('çok kırışık çıkartıyor kazaklarda genişleme yıpranma', 'PERSON')]"
sakin almayın oyuncaktan hiçbir farkı yok ömrümde böyle kötü süpürge görmedim çekim gücü yok borular elimde kırılıyor du nerdeyse iade vericem beyenmedim sadece sesi ve fiyati iyi oyuncak süpürge için fiyati iyi çocuğunuz varsa oyuncak yerine verin oynasin çok pişmanım,"[('oyuncaktan', 'GPE'), ('ömrümde böyle kötü', 'ORG'), ('elimde kırılıyor', 'PERSON'), ('nerdeyse iade vericem beyenmedim sadece', 'ORG'), ('varsa oyuncak', 'PERSON'), ('yerine', 'CARDINAL'), ('verin oynasin çok', 'PERSON')]"
"Yine Philips 4370 model ütüm bozulunca bu ütüyü aldım. Eskisinden çok daha iyi. Çok ağır değil. Süper ütülüyor. Kablosu uzun. Tek sevmediğim yönü rengi. Zaten erkek adama yakışmıyor ütü yapmak bir de pembe ütü ile yapmak (;
Teşekkürler HB!","[('Yine Philips', 'PERSON'), ('4370', 'DATE'), ('Çok ağır değil', 'PERSON'), ('Kablosu', 'PERSON'), ('yakışmıyor', 'ORG'), ('HB', 'ORG')]"
iPhone x şarj etmek için aldım. Telefonu 30 dk da ısıttı. Pilini %5 şarj edebildi,"[('Telefonu', 'ORG'), ('30', 'CARDINAL'), ('dk da ısıttı', 'PERSON'), ('Pilini', 'ORG'), ('5', 'CARDINAL')]"
Microusb ucu ilk baslarda telefona biraz zor takıldı ama onun dışında gayet güzel ve kullanışlı tavsiye ederim,"[('Microusb', 'ORG'), ('telefona biraz zor', 'ORG'), ('onun', 'GPE')]"
"Bir hafta yı geçti ürün hale elime ulaşmadı kargo şirketini aramama
rağmen teslimat günü olarak söyledikleri tarihte gelmediler böyle büyük
bir internet firması bu tür kargo şirketleri tüketicinin yorumlarını
dikkat alıp tüketici mağduriyetini gidermesini düşünüyorum","[('yı geçti', 'PERSON'), ('şirketini aramama\nrağmen', 'PERSON'), ('söyledikleri tarihte', 'PERSON'), ('böyle büyük', 'PERSON'), ('şirketleri', 'PERSON'), ('yorumlarını\ndikkat', 'PERSON')]"
Olumlu yönleri: tavsiye ederim,"[('Olumlu', 'ORG')]"
Çok güzel bir süpürge çok memnun kaldık satışa aracılık yapan hepsiburada şirketinide kutlarız süresinden önce sorunsuz teslimatı sağladılar.Kesinlikle tavsiye ederim,"[('Çok güzel bir', 'PERSON'), ('süpürge çok memnun', 'PERSON'), ('yapan hepsiburada', 'PERSON'), ('kutlarız süresinden', 'PERSON'), ('Kesinlikle', 'PERSON')]"
2 yıldır kullanan biri olarak söylüyorum ki gerçekten güzel telefon bugüne kadar kasma donma olmadı o kadar darbe almasına ve 2 kere suya maruz kalmasına rağmen hala çalışıyor :) şarj olayı da eğer normal bir kullanım yaparsanız 2 3 gün gidiyor,"[('2', 'CARDINAL'), ('2', 'CARDINAL'), ('suya', 'ORG'), ('2 3', 'QUANTITY')]"
Harika bir ürün tasfiye ederim,"[('Harika', 'ORG')]"
Ürünün soğutması yetersiz,[]
"Güncelleme sonrası kan oksijen sensörü aktif oldu. Genel kullanım olarak rahat ve estetik görünüme sahip. Gelen mesaj,mail gibi şeyleri gösteriyor fakat okumak ve bir diğerine geçmek can sıkabiliyor. Nabız ölçer sürekli devredeyken şarj en fazla 3 gün dayanabiliyor.","[('kan', 'ORG'), ('Gelen mesaj', 'PERSON'), ('şeyleri gösteriyor', 'PERSON'), ('okumak', 'GPE'), ('diğerine geçmek', 'PERSON'), ('şarj', 'ORG'), ('3', 'CARDINAL')]"
"ÜRÜN EZİK GELDİ. HATA KARGONUN DEĞİLDİ. BİLDİĞİNİZ KAPISI EZİK
PAKETLENMİŞ VE ÖYLE GÖNDERILMIŞ. AMA SONRASINDA MAĞAZA İLGİLENİP SUS
PAYI 100 TL GÖNDEREREK SORUNU KAPATTI. HİÇBİR ŞEKİLDE TAVSİYE ETMİYORUM","[('ÜRÜN EZİK GELDİ', 'ORG'), ('PAKETLENMİŞ VE', 'ORG'), ('AMA SONRASINDA MAĞAZA', 'ORG')]"
"32 gb olması fazlasıyla yeterli.Aynı zamanda usb 3.0 desteğiyle daha hızlı işlem yapıyor , gayet iyi.Normal usb'lere göre boyutu biraz daha küçük.Beklentileri fazlasıyla karşılıyor.","[('32', 'CARDINAL'), ('3.0', 'CARDINAL'), ('işlem yapıyor', 'PERSON'), ('boyutu biraz', 'ORG')]"
"bu ürünü çocuklara taze su sıkmak için aldık, katı meyveler için çok iyi, baya su çıkarıyor, yalnız temizlemesi biraz zahmetli en az 4-5 parçayı temizlemek zorunda kalıyorsun","[('su sıkmak', 'PERSON'), ('katı meyveler', 'ORG'), ('çok iyi', 'PERSON'), ('baya su çıkarıyor', 'PERSON'), ('temizlemesi biraz zahmetli', 'ORG'), ('4', 'CARDINAL'), ('temizlemek zorunda kalıyorsun', 'PERSON')]"
Henuz yeni aldım ve bir kez kullandım ama yine de değerlendirebilirim. Genel olarak iyi bir ürün. Ücretinin karşılığını veriyor. Isınma ve pişirme süresi iyi. Dezavantajları: kulpu çok ısınıyor ve yatay olduğu için basmak zor oluyor. Üstten kulplu olanlar daha kullanışlı olabilir. Son olarak 3 yıl garanti süresi iyi bir şey.,"[('Henuz', 'ORG'), ('kulpu çok ısınıyor', 'PERSON'), ('olduğu için basmak', 'ORG'), ('3', 'CARDINAL')]"
Olumlu yönleri: ürüne baca dahil mi açıklama kısmına veya yoruma yazarsanız birçok firmada 1 baca üzerinde dahil zaten siz yazmamışsınız ?,"[('yönleri', 'PRODUCT'), ('açıklama kısmına', 'ORG'), ('yazarsanız birçok', 'PERSON'), ('firmada', 'ORG'), ('1', 'CARDINAL'), ('dahil zaten siz yazmamışsınız', 'PERSON')]"
Komut tuslari islevsel degil. Kulakliklarin icindeki manyetik kisim da sallaniyor gibi. Geri gonderme suresinde iade etme firsati bulamadigim icin gittigi yere kadar oyle kullanacagim,"[('Komut', 'PERSON'), ('Kulakliklarin icindeki', 'NORP'), ('kisim da sallaniyor gibi', 'PERSON')]"
Güzel ürün iyi fiyat,"[('Güzel', 'NORP')]"
Vestel şehzade aldım 1 hafta sonra otomatiği atmadı gönderdim geldi yine aynı 1 haftalık ürün pişman oldum.bayiye gittim kime şikayet edersen et dediler.vestel hikayeymiş.,"[('1', 'CARDINAL'), ('gönderdim geldi yine', 'PERSON'), ('1', 'CARDINAL'), ('şikayet', 'CARDINAL')]"
ürün görseli ne aldanıp sakin siparis vermeyin firma ile görüştüm görselin farklı olduğunu Hepsi buradaki. görselleri değiştirdiğini söylediler. içinden wifi alıcı cikmiyor kumanda tek kelime ile berbat tuşlara basiyorsun geri gelmiyor cihazı görmeden algılamıyor bu firmanın bu tarz cihazları üretirken daha dikkatli olması gerekiyor. görüntü kalitesine hiç bir şey diyemem.,"[('siparis vermeyin firma ile', 'PERSON'), ('Hepsi', 'GPE'), ('içinden wifi', 'PERSON'), ('kumanda', 'GPE'), ('ile berbat', 'PERSON'), ('tuşlara basiyorsun geri', 'PERSON'), ('görüntü kalitesine hiç bir', 'PERSON')]"
"Yurtici Kargo firmasini kullanan tum saticilardan alisveris yapmama
karari verdiren siparisimdir. bundan sonra hicbir sekilde yurtici
firmasiyla gonderim yapan satici ve internet sitesiyle alis veris yapmayacagim","[('Yurtici Kargo', 'PERSON'), ('firmasini kullanan', 'PERSON'), ('saticilardan', 'GPE'), ('alisveris yapmama\n', 'PERSON'), ('karari verdiren siparisimdir', 'PERSON'), ('bundan sonra hicbir', 'PERSON'), ('sekilde yurtici\nfirmasiyla gonderim', 'PERSON'), ('yapan satici', 'PERSON'), ('veris yapmayacagim', 'PERSON')]"
tavsiye etmiyorum kesinlikle ürün arızalı,[]
"ÜRÜN KALİTELİ , ARZUM MÜŞTERİ DESTEĞİ ÇOK İYİ  VE  SATICI AMAZON TR YE TEŞEKKÜRLER","[('ÜRÜN KALİTELİ', 'ORG'), ('VE', 'ORG')]"
"her şey iyi sadece demliğin ağzı kullanıma elverişli değil. Çay
doldururken bardak dışına dökülüyor.","[('sadece', 'GPE'), ('elverişli değil', 'PERSON')]"
"Simbo firitöz makinesinden 2 adet satın aldım.Arızalı çıkınca her ikisini Simbo fabrikasına gönderdim.Bana yeni 2 firitöz gönderdiler.Birini henüz yeni açıp kullanmaya başladım ki yağın içinde birkaç uçuşan gezen siyahlar gördüm.Meğer teflonu soyulmaya başlamış.Servise bu durumu izah ettim bana ""kardeşim neden alırsınız şu simboları ,sürekli hen fazla simbo ürünleri tamire geliyor ve de hiç düzelmiyor.""Fabrika ile ilgili kişi ile görüştüm.Yok efendim üretim yılı yok efendim kod numarası gibi angaryalarla soru yağmuruna tutuyorlar.Siz önce kendi ürününüzü sorgulayın.Bunu kullanacak olan fakiri zengini değil ,insan . Makineyi hangi mühendisler üretiyorda mesleklerini bıraksınlar.Bir de fiyat koymuşsunuz 225 lr.Bu ürün 5 kuruş etmez çünkü ÇÖP size ödül yıldızım yok zaten olamaz.Lütfen malınızın arkasında durun.Fabrikanızı kapatınız.","[('2', 'CARDINAL'), ('Simbo', 'PERSON'), ('Bana', 'ORG'), ('2', 'CARDINAL'), ('firitöz', 'ORG'), ('Birini henüz', 'PERSON'), ('yeni açıp', 'ORG'), ('kullanmaya başladım', 'PERSON'), ('ki yağın', 'PERSON'), ('birkaç uçuşan', 'PERSON'), ('durumu izah ettim', 'ORG'), ('bana', 'GPE'), ('kardeşim', 'GPE'), ('yok', 'ORG'), ('kod numarası gibi', 'PERSON'), ('angaryalarla soru yağmuruna tutuyorlar', 'PERSON'), ('kendi', 'PERSON'), ('Bunu', 'PERSON'), ('olan fakiri zengini değil', 'PERSON'), ('insan', 'PERSON'), ('Makineyi', 'PERSON'), ('mühendisler üretiyorda mesleklerini', 'PERSON'), ('de fiyat koymuşsunuz', 'PERSON'), ('225', 'CARDINAL'), ('Lütfen', 'PERSON'), ('Fabrikanızı', 'PERSON')]"
"çaydanlığınıda aynıu renk aldım ama ikiside tamamen renk farklı yapacak
birşey yok artık demek fabrikanın canı böyle istemiş biri birinden cok
açık renkler..","[('demek fabrikanın', 'PERSON')]"
"Bıçaklar iyi kesiyor kesmesine ama taraklı olarak her tarafı kesemiyorsunuz. Çünkü tarak çok büyük, bıyıklar için uygun değil.Birde taraklı çalıştırdığınızda eğer saç ya da sakalınız çoksa tarakla makine arasına kıllar birikiyor.Çıkarmak için tarağı çıkarmanız gerekebilir.","[('Çünkü tarak', 'PERSON'), ('değil', 'PERSON'), ('Birde taraklı', 'PERSON'), ('saç ya da sakalınız çoksa', 'PERSON'), ('Çıkarmak', 'ORG'), ('çıkarmanız', 'ORG')]"
"Olumlu yönleri: Daha önce de kullandığımız bir ütüydü. Bozulunca yenisini aldık. Hafif, güçlü ve iş görür..","[('Bozulunca', 'ORG')]"
Bir seneye kalmadan dağıldı. Her bir tarafı çıktı. Tavsiye etmiyorum,"[('kalmadan dağıldı', 'PERSON')]"
Ürün çok güzel amazzon ve mng tam bir uyum içerisinde çok hızlı çok,"[('çok güzel', 'PERSON'), ('çok', 'ORG')]"
Ses kalitesi iyi ama kablo dayanıklı değil,[]
beklentimi karşılamadı,"[('beklentimi karşılamadı', 'PERSON')]"
hem batarya kapasitesi hem de ekran kalitesi için aldım. sAmoled ekran teknolojisi var. nerede kullanırsam kullanayım ışıktan bağımsız görüntü veriyor hiç kayıp yok. Özellikle 4000 mah kapasitesi bir günden fazla şarjı götürüyor. bittikten sonra da çok hızlı tam dolu şarj oluyor. 64 GB hafıza bana yetiyor ama yetmese de hafıza kartını destekliyor ve istediğiniz kadar artırabiliyorsunuz.,"[('hem batarya kapasitesi hem de ekran', 'ORG'), ('nerede kullanırsam kullanayım', 'PERSON'), ('ışıktan', 'GPE'), ('hiç kayıp yok', 'PERSON'), ('4000', 'CARDINAL'), ('şarj oluyor', 'PERSON'), ('64', 'CARDINAL'), ('GB', 'GPE'), ('bana', 'GPE'), ('yetmese de hafıza', 'PERSON')]"
Bence almadan dusunun iyi arastirin derim ben aldim calistirdiktan 1 saat sonra tv nin alt tarafinda isinma oluyor baya servis geldi normal dedi sanki sobalı tv aldik iade ve degisim yapilmicani soylediler tuketici haklarina sikayetimi yapicam,"[('Bence', 'ORG'), ('dusunun', 'ORG'), ('derim ben aldim', 'PERSON'), ('1', 'CARDINAL'), ('yapilmicani', 'PERSON'), ('tuketici haklarina sikayetimi yapicam', 'PERSON')]"
Lanet olsun aldığım güne 1 kez kullandım kek yapıcakken yavaşlayıp durdu  bosda bastım takılıp takılıp duruyor .. garantiye götürdük 32 tl diş degiştirmek icin ücret istendi bunda hic birşey çekilemezmiş sadece yumuyorta ve sıvı şeyler paramı asla helal etmiyorum heryere şikayet edeceğim buz kırıcı özelligi varmıs bide daha yogurdu bile cekemeyen blender iğrenç bir ürün  iade de edemiyorum kaldı elimde değiştirsem de süs niyetine beklicek mutfakta bi kez kullanımda gene aynısı olcak ne yapacağımı bilmiyorum cok pişmanım😒,"[('1', 'CARDINAL'), ('yavaşlayıp', 'NORP'), ('32', 'CARDINAL'), ('sadece', 'GPE'), ('yumuyorta', 'GPE'), ('sıvı şeyler', 'ORG'), ('şikayet', 'CARDINAL'), ('buz kırıcı', 'PERSON'), ('daha yogurdu bile cekemeyen blender iğrenç', 'ORG'), ('değiştirsem de süs niyetine beklicek mutfakta', 'PERSON'), ('kez kullanımda gene', 'PERSON')]"
Güzel ama güncelleme gelmesi lazım Türkçe için,"[('Güzel', 'NORP'), ('Türkçe', 'ORG')]"
"bekledigim gibi çıkmadı, çok sıvı",[]
ürün bir günde elime geçti ürün çok iyi net yazdırıyo foto çıktısı fotokopisi mekemmel fakat kartuşların dolumu olmuyor kartuş fiatları çok pahalı yazıcı parasını geçiyo bence dolan kartuşlu olanlar daha iyidir  orjinal mürekkebi daha bulamadım bilen varsa yazsın bizim içinde iyi olur tşler hepsiburadaya   deniz köktürk zonguldak,"[('mekemmel', 'PERSON'), ('kartuşların', 'PERSON'), ('bilen varsa', 'PERSON'), ('olur tşler hepsiburadaya', 'PERSON'), ('deniz köktürk zonguldak', 'PERSON')]"
Yorumları okudum aklım karıştı. Ama yine de çogunluğa uydum. İlk denemem hüsran. Kahve dünyasının çok kavrulmuş kahvesiyle yaptım neredeyse sıfır köpük. İade etmeyi düşünürken ertesi gün taze kahve çektirip denedim sonuç istediğim gibi boll bol köpük nefis tat. Teşekkürler arzum okka minio. Teşekkürler hepsiburada... 2 dakikada bol köpük okka mimio..,"[('Yorumları', 'GPE'), ('denemem hüsran', 'PERSON'), ('Kahve', 'PERSON'), ('kavrulmuş kahvesiyle yaptım neredeyse', 'ORG'), ('köpük nefis', 'PERSON'), ('2', 'CARDINAL')]"
Ürün daha yeni geldi anneler günü için almıştık deneyelim dedik şartel atmaya başladı sürekli fişi takar takmaz atıyordu yetkili servise götürdük nemli ortamda kalmış dediler 2 gün sonra gelin alın dediler ürün güzel gözüküyor,"[('yeni geldi', 'PERSON'), ('şartel atmaya başladı', 'ORG'), ('2', 'CARDINAL')]"
